query_id,scope_type,scope_name,platform,issue_family,query_text,data_role,verification_status,notes
cv-gp-water,province,Gauteng,public_social,water,"Gauteng no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-roads,province,Gauteng,public_social,roads,"Gauteng potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-electricity,province,Gauteng,public_social,electricity,"Gauteng power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-refuse,province,Gauteng,public_social,refuse,"Gauteng refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-housing,province,Gauteng,public_social,housing,"Gauteng housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-healthcare,province,Gauteng,public_social,healthcare,"Gauteng clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-gp-governance,province,Gauteng,public_social,governance,"Gauteng municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-water,province,Western Cape,public_social,water,"Western Cape no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-roads,province,Western Cape,public_social,roads,"Western Cape potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-electricity,province,Western Cape,public_social,electricity,"Western Cape power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-refuse,province,Western Cape,public_social,refuse,"Western Cape refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-housing,province,Western Cape,public_social,housing,"Western Cape housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-healthcare,province,Western Cape,public_social,healthcare,"Western Cape clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-wc-governance,province,Western Cape,public_social,governance,"Western Cape municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-water,province,KwaZulu-Natal,public_social,water,"KwaZulu-Natal no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-roads,province,KwaZulu-Natal,public_social,roads,"KwaZulu-Natal potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-electricity,province,KwaZulu-Natal,public_social,electricity,"KwaZulu-Natal power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-refuse,province,KwaZulu-Natal,public_social,refuse,"KwaZulu-Natal refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-housing,province,KwaZulu-Natal,public_social,housing,"KwaZulu-Natal housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-healthcare,province,KwaZulu-Natal,public_social,healthcare,"KwaZulu-Natal clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-kzn-governance,province,KwaZulu-Natal,public_social,governance,"KwaZulu-Natal municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-water,province,Eastern Cape,public_social,water,"Eastern Cape no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-roads,province,Eastern Cape,public_social,roads,"Eastern Cape potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-electricity,province,Eastern Cape,public_social,electricity,"Eastern Cape power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-refuse,province,Eastern Cape,public_social,refuse,"Eastern Cape refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-housing,province,Eastern Cape,public_social,housing,"Eastern Cape housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-healthcare,province,Eastern Cape,public_social,healthcare,"Eastern Cape clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-ec-governance,province,Eastern Cape,public_social,governance,"Eastern Cape municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-water,province,Limpopo,public_social,water,"Limpopo no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-roads,province,Limpopo,public_social,roads,"Limpopo potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-electricity,province,Limpopo,public_social,electricity,"Limpopo power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-refuse,province,Limpopo,public_social,refuse,"Limpopo refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-housing,province,Limpopo,public_social,housing,"Limpopo housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-healthcare,province,Limpopo,public_social,healthcare,"Limpopo clinic shortage OR hospital backlog OR medicine shortage OR ambulance delay",sentiment,verified,"Province-wide citizen voice query pack"
cv-lp-governance,province,Limpopo,public_social,governance,"Limpopo municipality failed OR corruption OR service delivery failure OR billing crisis",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-water,province,Mpumalanga,public_social,water,"Mpumalanga no water OR water outage OR burst pipe OR sewage spill OR tanker",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-roads,province,Mpumalanga,public_social,roads,"Mpumalanga potholes OR damaged road OR bridge collapse OR traffic lights out",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-electricity,province,Mpumalanga,public_social,electricity,"Mpumalanga power outage OR substation OR transformer exploded OR electricity off",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-refuse,province,Mpumalanga,public_social,refuse,"Mpumalanga refuse not collected OR rubbish piling up OR waste collection",sentiment,verified,"Province-wide citizen voice query pack"
cv-mp-housing,province,Mpumalanga,public_social,housing,"Mpumalanga housing backlog OR RDP housing OR informal settlement OR evictions",sentiment,verified,"Province-wide citizen voice query pack"
