source_id,source_name,source_url,source_owner,source_type,sphere,province,municipality,sector,data_role,update_frequency,access_method,reliability_tier,verification_status,verification_reference,notes
media-news24,News24,https://www.news24.com/,News24,news,national,,,"general","evidence",continuous,html,tier_2,verified,https://www.news24.com/opinions/reader-hub/news24-tops-list-of-trusted-sa-news-brands-for-seventh-consecutive-year-20250617-1038,"Appears in Reuters Institute trust ranking cited by News24; major national source for service delivery and infrastructure coverage"
media-enca,eNCA,https://www.enca.com/,eNCA,news,national,,,"general","evidence",continuous,html,tier_2,verified,https://www.news24.com/opinions/reader-hub/news24-tops-list-of-trusted-sa-news-brands-for-seventh-consecutive-year-20250617-1038,"Appears in Reuters Institute trust ranking cited by News24"
media-sabc-news,SABC News,https://www.sabcnews.com/sabcnews/,SABC News,news,national,,,"general","evidence",continuous,html,tier_2,verified,https://www.news24.com/opinions/reader-hub/news24-tops-list-of-trusted-sa-news-brands-for-seventh-consecutive-year-20250617-1038,"Appears in Reuters Institute trust ranking cited by News24"
media-bbc-news,BBC News,https://www.bbc.com/news,BBC News,news,national,,,"general","evidence",continuous,html,tier_2,verified,https://www.news24.com/opinions/reader-hub/news24-tops-list-of-trusted-sa-news-brands-for-seventh-consecutive-year-20250617-1038,"Appears in Reuters Institute trust ranking cited by News24"
media-sunday-times,Sunday Times,https://www.timeslive.co.za/sunday-times/,Sunday Times,news,national,,,"general","evidence",continuous,html,tier_2,verified,https://www.news24.com/opinions/reader-hub/news24-tops-list-of-trusted-sa-news-brands-for-seventh-consecutive-year-20250617-1038,"Appears in Reuters Institute trust ranking cited by News24"
media-the-citizen,The Citizen,https://www.citizen.co.za/,The Citizen,news,national,,,"general","evidence",continuous,html,tier_2,verified,https://www.news24.com/opinions/reader-hub/news24-tops-list-of-trusted-sa-news-brands-for-seventh-consecutive-year-20250617-1038,"Appears in Reuters Institute trust ranking cited by News24"
media-mail-and-guardian,Mail & Guardian,https://mg.co.za/,Mail & Guardian,news,national,,,"general","evidence",continuous,html,tier_2,verified,https://www.news24.com/opinions/reader-hub/news24-tops-list-of-trusted-sa-news-brands-for-seventh-consecutive-year-20250617-1038,"Appears in Reuters Institute trust ranking cited by News24"
media-timeslive,TimesLIVE,https://www.timeslive.co.za/,TimesLIVE,news,national,,,"general","evidence",continuous,html,tier_2,verified,https://www.news24.com/opinions/reader-hub/news24-tops-list-of-trusted-sa-news-brands-for-seventh-consecutive-year-20250617-1038,"Appears in Reuters Institute trust ranking cited by News24"
media-city-press,City Press,https://www.news24.com/citypress/,City Press,news,national,,,"general","evidence",continuous,html,tier_2,verified,https://www.news24.com/opinions/reader-hub/news24-tops-list-of-trusted-sa-news-brands-for-seventh-consecutive-year-20250617-1038,"Appears in Reuters Institute trust ranking cited by News24"
media-daily-maverick,Daily Maverick,https://www.dailymaverick.co.za/,Daily Maverick,news,national,,,"general","evidence",continuous,html,tier_2,verified,https://www.dailymaverick.co.za/,"Verified South African news outlet with strong investigative and governance coverage"
media-groundup,GroundUp,https://groundup.org.za/,GroundUp,news,national,,,"general","evidence",continuous,html,tier_2,verified,https://groundup.org.za/,"Verified public-interest outlet with strong local service-delivery and housing coverage"
media-engineering-news,Engineering News,https://www.engineeringnews.co.za/,Engineering News,news,national,,,"infrastructure","evidence",continuous,html,tier_2,verified,https://www.gov.za/about-government/contact-directory/news-mags/engineering-news,"Officially listed in the South African Government media directory"
media-business-day,Business Day,https://www.businesslive.co.za/bd/,Business Day,news,national,,,"finance","evidence",continuous,html,tier_2,verified,https://www.businesslive.co.za/bd/,"Verified national business publication relevant for infrastructure finance and investor coverage"
media-iol,IOL,https://www.iol.co.za/,IOL,news,national,,,"general","evidence",continuous,html,tier_3,verified,https://www.iol.co.za/,"Verified national outlet; use with provenance and cross-source confirmation"
