source_id,source_name,source_url,source_owner,source_type,sphere,province,municipality,sector,data_role,update_frequency,access_method,reliability_tier,verification_status,verification_reference,notes
official-nationalstrathub-home,National Strategic Hub,https://nationalstrathub.cogta.gov.za/,CoGTA,official_gov,national,,,"general","kpi_truth",unknown,html,tier_1,verified,https://nationalstrathub.cogta.gov.za/,"Cabinet-approved municipal data and planning platform"
official-nationalstrathub-about,National Strategic Hub About,https://nationalstrathub.cogta.gov.za/about/,CoGTA,official_gov,national,,,"general","recommendation_context",rarely,html,tier_1,verified,https://nationalstrathub.cogta.gov.za/about/,"Explicitly describes the NSH single-source-of-truth mandate"
official-nationalstrathub-ecosystem,National Strategic Hub Data Ecosystem,https://nationalstrathub.cogta.gov.za/collaborate/data-ecosystem/,CoGTA,official_gov,national,,,"general","recommendation_context",unknown,html,tier_1,verified,https://nationalstrathub.cogta.gov.za/collaborate/data-ecosystem/,"Useful for data provenance and source-network mapping"
official-municipalmoney,Municipal Money,https://municipalmoney.gov.za/,National Treasury,treasury,national,,,"finance","kpi_truth",regular,html,tier_1,verified,https://municipalmoney.gov.za/,"National Treasury initiative exposing municipal financial data"
official-dws-water-security,DWS Water Security Dashboard,https://www.dws.gov.za/dashboard.aspx,Department of Water and Sanitation,utility,national,,,"water","kpi_truth",regular,html,tier_1,verified,https://www.dws.gov.za/dashboard.aspx,"Official DWS water security dashboard"
official-dws-niwis-transfers,DWS NIWIS Water Transfers,https://www.dws.gov.za/niwis2/Info/WaterTransfersInfo,Department of Water and Sanitation,utility,national,,,"water","kpi_truth",regular,html,tier_1,verified,https://www.dws.gov.za/niwis2/Info/WaterTransfersInfo,"Official NIWIS water transfer dashboard"
official-statssa,Statistics South Africa,https://www.statssa.gov.za/,Statistics South Africa,stats,national,,,"general","kpi_truth",regular,html,tier_1,verified,https://www.statssa.gov.za/,"Official statistics portal for population, economy, living conditions and geography"
official-govza-provinces,South African Government Provinces Directory,https://www.gov.za/provinces,South African Government,official_gov,national,,,"general","recommendation_context",rarely,html,tier_1,verified,https://www.gov.za/provinces,"Official province overview page covering all 9 provinces"
official-govza-provincial-local-directory,Provincial and Local Government Directory,https://www.gov.za/about-government/contact-directory/provincial-local-government,South African Government,official_gov,national,,,"general","recommendation_context",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-local-government,"Official directory for provincial and municipal structures"
official-govza-local-government,South African Government Local Government Overview,https://www.gov.za/about-government/government-system/local-government,South African Government,official_gov,national,,,"general","recommendation_context",rarely,html,tier_1,verified,https://www.gov.za/about-government/government-system/local-government,"Official overview confirming 8 metros, 44 districts, and 205 locals"
official-ec-prov-gov,Eastern Cape Provincial Government,https://www.gov.za/about-government/contact-directory/provincial-gov/eastern-cape-provincial-government,Eastern Cape Provincial Government,official_gov,provincial,Eastern Cape,,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-gov/eastern-cape-provincial-government,"Primary official provincial government directory page"
official-fs-prov-gov,Free State Provincial Government,https://www.gov.za/about-government/contact-directory/provincial-gov/free-state-provincial-government,Free State Provincial Government,official_gov,provincial,Free State,,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-gov/free-state-provincial-government,"Primary official provincial government directory page"
official-gp-prov-gov,Gauteng Provincial Government,https://www.gov.za/about-government/contact-directory/provincial-gov/gauteng-provincial-government,Gauteng Provincial Government,official_gov,provincial,Gauteng,,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-gov/gauteng-provincial-government,"Primary official provincial government directory page"
official-kzn-prov-gov,KwaZulu-Natal Provincial Government,https://www.gov.za/nr/about-government/contact-directory/provincial-gov/kwazulu-natal-provincial-government,KwaZulu-Natal Provincial Government,official_gov,provincial,KwaZulu-Natal,,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/nr/about-government/contact-directory/provincial-gov/kwazulu-natal-provincial-government,"Primary official provincial government directory page"
official-lp-prov-gov,Limpopo Provincial Government,https://www.gov.za/about-government/contact-directory/provincial-gov/provincial-gov/limpopo-provincial-government,Limpopo Provincial Government,official_gov,provincial,Limpopo,,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-gov/provincial-gov/limpopo-provincial-government,"Primary official provincial government directory page"
official-mp-prov-gov,Mpumalanga Provincial Government,https://www.gov.za/about-government/contact-directory/provincial-gov/provincial-gov/mpumalanga-provincial-government,Mpumalanga Provincial Government,official_gov,provincial,Mpumalanga,,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-gov/provincial-gov/mpumalanga-provincial-government,"Primary official provincial government directory page"
official-nw-prov-gov,North West Provincial Government,https://www.gov.za/about-government/contact-directory/provincial-gov/north-west-provincial-government,North West Provincial Government,official_gov,provincial,North West,,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-gov/north-west-provincial-government,"Primary official provincial government directory page"
official-nc-prov-gov,Northern Cape Provincial Government,https://www.gov.za/af/about-government/contact-directory/provincial-gov/northern-cape-provincial-government,Northern Cape Provincial Government,official_gov,provincial,Northern Cape,,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/af/about-government/contact-directory/provincial-gov/northern-cape-provincial-government,"Primary official provincial government directory page"
official-wc-prov-gov,Western Cape Provincial Government,https://www.gov.za/about-government/contact-directory/provincial-gov/provincial-gov/westerm-cape-provincial-government,Western Cape Provincial Government,official_gov,provincial,Western Cape,,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-gov/provincial-gov/westerm-cape-provincial-government,"Primary official provincial government directory page"
