geography_level,province_name,municipality_name,ward_name,issue_family,service_domain,event_date,period_year,severity,summary_text,source_name,source_url,verification_tier
ward,Eastern Cape,Buffalo City,Ward 18,Local facilities maintenance,Roads,,,Medium,"Buffalo City budget references for Ward 18 include roads and maintenance together with the Nahoon Beach facilities upgrade, suggesting repeated local infrastructure attention around mobility and public amenities.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/files/documents/ann_report2526_4_1757422734.pdf,verified_enrichment
ward,Eastern Cape,Buffalo City,Ward 18,Recurring ward roads provision,Roads,,2021,Medium,"Buffalo City's 2021/22 mid-year adjustment capital budget records a Roads Provision line for Ward 18, showing an established roads and access investment pattern.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202204030316464014162.1Annexure2.1-202122MidCapital-Final.pdf,verified_enrichment
ward,Eastern Cape,Buffalo City,Ward 18,Recurring ward roads provision,Roads,,2024,Medium,"Buffalo City's 2024/25 draft capital budget includes Roads Provision for Ward 18, reinforcing a multi-year ward roads allocation trail.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202403040417121501803.2AnnexureC.2-2425MTREFBudgetCapitalProjects.pdf,verified_enrichment
ward,Eastern Cape,Buffalo City,Ward 18,Recurring ward roads provision,Roads,,2025,Medium,"Buffalo City's 2024/25 first adjustments capital budget continues a Roads Provision line for Ward 18, indicating repeated official maintenance and improvement planning for the ward.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202404090917254337142.1Annexure2.1-2425FirstadjBudgetCapitalprojectsDetailed.pdf,verified_enrichment
ward,Eastern Cape,Buffalo City,Ward 01,Shared ward roads provision,Roads,,2025,Medium,"Buffalo City's 2025/26 detailed capital works plan includes Roads Provision for Wards 01, 02, and 16, indicating a ward-linked roads and access allocation for Ward 01.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202508070717519746946..ANNEXUREE-WARDINFORMATIONFOREXPENDITUREANDSERVICEDELIVERYANDDETAILEDCAPITALWORKSPLANBROKENDOWNBYWARDOVER3YEARS.pdf,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 53,Public realm maintenance,Roads,,,Medium,"City of Cape Town ward allocation records for Ward 53 point to pathway repairs, public lighting and fencing interventions, indicating sustained public-realm maintenance pressure.",City of Cape Town,https://www.capetown.gov.za/family%20and%20home/meet-the-city/city-council/wards/ward-profile?subcouncilcode=16&wardcode=53,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 61,Neighbourhood access and maintenance,Roads,,,Medium,"City of Cape Town ward lookup references provide an official anchor for tracking local access, lighting, and maintenance pressure in Ward 61.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=ocean+view,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 63,Local facilities and public realm,Roads,,,Medium,"City of Cape Town ward lookup references provide an official anchor for tracking ward-level public-realm and facility-related pressure in Ward 63.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/City-Council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=plumstead,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 66,Neighbourhood maintenance,Roads,,,Medium,"City of Cape Town ward lookup references provide an official anchor for tracking neighbourhood maintenance and access issues in Ward 66.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/meet-the-city/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=ottery,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 67,Public realm and mobility,Roads,,,Medium,"City of Cape Town ward lookup references provide an official anchor for tracking local mobility and public-realm maintenance in Ward 67.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/City-Council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=zeekoevlei,verified_enrichment
ward,Western Cape,City of Cape Town,Ward 77,Urban public realm,Roads,,,Medium,"City of Cape Town ward lookup references provide an official anchor for tracking city-centre public-realm and mobility pressure in Ward 77.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=cape+town+city+centre,verified_enrichment
ward,Mpumalanga,Bushbuckridge,Ward 24,Internal streets and local road access,Roads,,2026,Medium,"Bushbuckridge budget schedules include construction of internal streets in South Ward 24, showing ward-linked road access pressure and infrastructure response.",Bushbuckridge Local Municipality,https://www.bushbuckridge.gov.za/images/files/2025/12/18/797/Final_budget_CAPEX_2026.pdf,verified_enrichment
ward,Mpumalanga,Thembisile Hani,Ward 18,Storm-water drainage and internal roads,Roads,,2024,High,"Ward 18 community inputs in the Thembisile Hani IDP highlight storm-water drainage, road condition, regravelling, paving, and pothole complaints across Chris Hani, Thokoza, and Tweefontein M.",Thembisile Hani Local Municipality,https://www.thembisilehanilm.gov.za/sites/default/files/IDP%202023%20TO%202024.docx.pdf,verified_enrichment
ward,Mpumalanga,Thembisile Hani,Ward 31,Roads and storm-water drainage,Roads,,2024,High,"Ward 31 priorities in the Thembisile Hani IDP include gravelling and maintenance of internal roads, paving, bridge construction, speed humps, and storm-water drainage upgrades.",Thembisile Hani Local Municipality,https://www.thembisilehanilm.gov.za/sites/default/files/IDP%202023%20TO%202024.docx.pdf,verified_enrichment
