province_name,municipality_name,ward_name,issue_family,service_domain,event_date,period_year,severity,summary_text,source_name,source_url,verification_tier
Western Cape,City of Cape Town,Ward 53,Public safety and roads,Roads,,,Medium,"Ward 53 current ward allocation projects include public lighting, pathway repairs and fencing interventions, indicating ongoing public-realm maintenance and access priorities.",City of Cape Town,https://www.capetown.gov.za/family%20and%20home/meet-the-city/city-council/wards/ward-profile?subcouncilcode=16&wardcode=53,verified_enrichment
Western Cape,City of Cape Town,Ward 61,Neighbourhood access and maintenance,Roads,,,Medium,"Ward 61 now has an official ward profile reference through the City of Cape Town lookup, enabling local access, lighting, and ward-service priorities to be tracked at ward level.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=ocean+view,verified_enrichment
Western Cape,City of Cape Town,Ward 63,Local facilities and public realm,Roads,,,Medium,"Ward 63 now has an official City of Cape Town ward profile anchor, supporting local infrastructure-history tracking around facilities, access, and public-realm issues.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/City-Council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=plumstead,verified_enrichment
Western Cape,City of Cape Town,Ward 66,Neighbourhood maintenance,Roads,,,Medium,"Ward 66 now has an official City of Cape Town ward profile anchor, supporting ward-level tracking of neighbourhood maintenance and access issues.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/meet-the-city/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=ottery,verified_enrichment
Western Cape,City of Cape Town,Ward 67,Public realm and mobility,Roads,,,Medium,"Ward 67 now has an official City of Cape Town ward profile anchor, supporting ward-level tracking of local mobility and public-realm maintenance signals.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/City-Council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=zeekoevlei,verified_enrichment
Western Cape,City of Cape Town,Ward 77,Urban public realm,Roads,,,Medium,"Ward 77 now has an official City of Cape Town ward profile anchor, supporting local monitoring of city-centre public-realm and mobility issues.",City of Cape Town,https://www.capetown.gov.za/Family%20and%20home/Meet-the-City/city-council/find-your-councillor-ward-or-subcouncil/lookup-search-results?SearchExecuted=1&WardSubDivisionName=cape+town+city+centre,verified_enrichment
Eastern Cape,Buffalo City,Ward 18,Coastal facilities and roads,Roads,,,Medium,"Ward 18 is reflected in Buffalo City budget references with roads and maintenance work together with the Nahoon Beach facilities upgrade, showing recurring local public-space and transport maintenance needs.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/files/documents/ann_report2526_4_1757422734.pdf,verified_enrichment
Eastern Cape,Buffalo City,Ward 18,Recurring ward roads provision,Roads,,2021,Medium,"Buffalo City's 2021/22 mid-year adjustment capital budget includes a Roads Provision line for Ward 18, confirming recurring ward-level roads and access investment.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202204030316464014162.1Annexure2.1-202122MidCapital-Final.pdf,verified_enrichment
Eastern Cape,Buffalo City,Ward 18,Recurring ward roads provision,Roads,,2024,Medium,"Buffalo City's 2024/25 draft capital budget includes a Roads Provision line for Ward 18, showing continued official allocation attention to ward roads and access.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202403040417121501803.2AnnexureC.2-2425MTREFBudgetCapitalProjects.pdf,verified_enrichment
Eastern Cape,Buffalo City,Ward 18,Recurring ward roads provision,Roads,,2025,Medium,"Buffalo City's 2024/25 first adjustments capital budget continues a Roads Provision line for Ward 18, indicating repeated ward-level roads maintenance and improvement planning.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202404090917254337142.1Annexure2.1-2425FirstadjBudgetCapitalprojectsDetailed.pdf,verified_enrichment
