province_name,municipality_name,year,population_total,households_total,unemployment_rate,service_access_water,service_access_electricity,service_access_sanitation,income_band_summary,language_profile,settlement_profile,economic_profile,source_name,source_url
Western Cape,City of Cape Town,2022,4772846,1637491,,,,,"{}","{""Afrikaans"":34.9,""IsiXhosa"":29.7,""English"":27.8}","{""type"":""metro""}","{""note"":""Large metropolitan economy with major housing, transport and water system pressures""}","Wikipedia (Census 2022 summary)",https://en.wikipedia.org/wiki/City_of_Cape_Town
Eastern Cape,Buffalo City,2022,924425,285621,,,,,"{}","{}","{""type"":""metro""}","{""note"":""Coastal metro with recurring local service delivery and infrastructure stress""}","Wikipedia (Census 2022 summary)",https://en.wikipedia.org/wiki/Buffalo_City_Metropolitan_Municipality
Eastern Cape,Nelson Mandela Bay,2022,1260522,390639,,,,,"{}","{}","{""type"":""metro""}","{""note"":""Large coastal metro with persistent urban service and housing pressure""}","Wikipedia (Census 2022 summary)",https://en.wikipedia.org/wiki/Nelson_Mandela_Bay_Metropolitan_Municipality
Mpumalanga,Steve Tshwete,2023,337195,111378,,,,,"{}","{}","{""type"":""local municipality""}","{""note"":""Coal and energy corridor municipality with mixed townships and industrial settlements""}","Wikipedia (2023 estimate summary)",https://en.wikipedia.org/wiki/Steve_Tshwete_Local_Municipality
Northern Cape,Sol Plaatje,2022,272106,82706,,,,,"{}","{}","{""type"":""local municipality""}","{""note"":""Kimberley-centred municipality with water, roads and urban maintenance relevance""}","Wikipedia (Census 2022 summary)",https://en.wikipedia.org/wiki/Sol_Plaatje_Local_Municipality
Mpumalanga,Bushbuckridge,2022,750821,167927,,25.9,98.5,23.4,"{}","{""Xitsonga/Shangaan"":""dominant"",""Sepulana/Northern Sotho"":""strong local presence""}","{""type"":""rural local municipality""}","{""note"":""Large rural municipality with dispersed settlements, tourism adjacency, and major service-access inequality""}","Wikipedia (Stats SA 2022 summary)",https://en.wikipedia.org/wiki/Bushbuckridge_Local_Municipality
Mpumalanga,Emalahleni,2023,395466,,,,,"{}","{""IsiZulu"":38.6,""IsiNdebele"":14.9,""Sepedi"":11.3,""Xitsonga"":8.9}","{""type"":""industrial local municipality""}","{""note"":""Mining and energy-centred municipality with urban service pressure and environmental burden""}","Wikipedia (2023 municipality summary)",https://en.wikipedia.org/wiki/Emalahleni_Local_Municipality%2C_Mpumalanga
Mpumalanga,Govan Mbeki,2022,310117,103864,,,,,"{}","{}","{""type"":""industrial local municipality""}","{""note"":""Coal, petrochemical, and logistics municipality with housing and infrastructure demand shaped by industrial settlements""}","Govan Mbeki IDP 2024/25 (Stats SA Census 2022)",https://www.govanmbeki.gov.za/wp-content/strategic_documents/idp_2024_2025_final_council_approved.pdf
Mpumalanga,Thembisile Hani,2022,431248,110563,37,29.5,96.9,27.7,"{}","{}","{""type"":""peri-urban and rural local municipality""}","{""note"":""Large western Mpumalanga municipality with dispersed settlements, road-access constraints, and high unemployment pressure""}","Thembisile Hani IDP 2024/25",https://www.thembisilehanilm.gov.za/sites/default/files/THLM%20%20IDP%202024-25_%20%28003%29%20%28005%29%20%28002%29%20May%20May.pdf
Mpumalanga,Nkomazi,2024,447415,113924,,,,,"{}","{}","{""type"":""border local municipality""}","{""note"":""Border municipality with agricultural and trade dynamics, fast household growth, and heavy basic-service planning demand""}","Municipal Socio-Economic Profile",https://lg.treasury.gov.za/ibi_apps/rs/ibfs/WFC/Repository/Public/Municipal_Socio-Economic_Profiles/Profiles/Municipal_Profiles/Mpumalanga/Nkomazi.pdf?IBIRS_action=run
Mpumalanga,Msukaligwa,2022,199314,67827,,,,,"{}","{}","{""type"":""local municipality""}","{""note"":""Highveld municipality with mixed mining, rail, and small-town service-delivery pressures""}","Citypopulation (Stats SA 2022)",https://www.citypopulation.de/en/southafrica/admin/mpumalanga/MP302__msukaligwa/
Eastern Cape,Raymond Mhlaba,2022,178594,53048,,43.7,97.4,60.1,"{}","{}","{""type"":""local municipality""}","{""note"":""Agricultural and small-town municipality with strong ward-level roads, water, sanitation, and public-lighting priorities in the IDP""}","Raymond Mhlaba IDP 2024/25",https://www.raymondmhlaba.gov.za/system/content/documents/reports/2024/idp_sdbip%20/2024.2025%20RAYMOND%20DRAFT%20IDP%20reviewed.pdf
Gauteng,City of Johannesburg,2022,4803262,1006930,,81,80,86,"{}","{""IsiZulu"":23.4,""English"":20.1,""Xitsonga"":9.6,""Sepedi"":7.7}","{""type"":""metro""}","{""note"":""South Africa's largest metro with concentrated housing, transport, water, and informal-settlement pressure""}","Wikipedia (Census 2022 summary)",https://en.wikipedia.org/wiki/City_of_Johannesburg_Metropolitan_Municipality
Gauteng,City of Tshwane,2022,4040315,,,,,"{}","{}","{""type"":""metro""}","{""note"":""Large administrative metro with broad ward footprint, mixed urban-rural character, and major transport and utility delivery pressure""}","Citypopulation (Stats SA 2022)",https://www.citypopulation.de/en/southafrica/admin/gauteng/TSH__city_of_tshwane/
Gauteng,Ekurhuleni,2022,4066691,1421003,,,,,"{}","{}","{""type"":""metro""}","{""note"":""Large industrial and logistics metro with dense township settlement patterns and strong infrastructure maintenance demand""}","City of Ekurhuleni Annual Report 2023/24",https://www.ekurhuleni.gov.za/wp-content/uploads/2024/09/2023_24-Draft-Annual-Report-31-August-2024.pdf
